repository,stars,age_days,cbo_mean,dit_mean,lcom_mean,cbo_median,dit_median,lcom_median,cbo_std,dit_std,lcom_std
krahets/hello-algo,116520,1043,1.8744186046511628,1.0,4.706976744186046,2.0,1.0,1.0,1.5090568474899124,0.0,10.433519224981751
GrowingGit/GitHub-Chinese-Top-Charts,102100,2199,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
iluwatar/java-design-patterns,92646,4052,3.3632523759239703,1.197465681098205,1.8405491024287224,3.0,1.0,0.0,2.597627294965604,0.5260619747745826,6.471358627540072
macrozheng/mall,81558,2718,3.9342105263157894,1.2394736842105263,1110.803947368421,3.0,1.0,13.0,4.9636455361266725,0.43892180917634654,8150.187983123307
